Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Project_OLIA\Project Outputs for Project_OLIA\Pick Place for Project_OLIA.csv

========================================================================================================================
File Design Information:

Date:       15-03-26
Time:       02:13
Revision:   6f9050505321ed158e1cbdaf1dde95a529a13ff2
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R13","49.9 O","TopLayer","FP-AC2512-MFG","2580.000mil","4729.920mil","270","RES SMD 49.9 OHM 1% 1W 2512"
"R16","1 KO","TopLayer","FP-RP732B-MFG","2197.992mil","4032.873mil","0","Res Thin Film 1206 1.0KO 0.1% 0.25W 15ppm/°C Molded SMD"
"R15","1 KO","TopLayer","FP-RP732B-MFG","1997.992mil","4032.873mil","0","Res Thin Film 1206 1.0KO 0.1% 0.25W 15ppm/°C Molded SMD"
"C25","0.1 µF","TopLayer","FP-C0603C-CF-MFG","3726.378mil","2677.873mil","180","CAP CER 0.1UF 50V X7R 0603"
"C27","18pF","TopLayer","FP-GCM155-0_05-IPC_B","3315.000mil","4546.889mil","0","Ceramic Capacitor for Automotive 18pF ±5% 50VDC C0G 0402 Paper T/R"
"C26","18pF","TopLayer","FP-GCM155-0_05-IPC_B","3230.000mil","4105.000mil","0","Ceramic Capacitor for Automotive 18pF ±5% 50VDC C0G 0402 Paper T/R"
"C2","10 uF (tantalum)","TopLayer","FP-T491B106K016AT-MFG","2500.858mil","2680.000mil","270","CAP TANT 10UF 10% 16V 1411"
"Y1","ABLS-8.000MHZ-B2-T","TopLayer","FP-ABLS-MFG","3069.160mil","4359.881mil","90","CRYSTAL 8.0000MHZ 18PF SMD"
"U4","OPA350UA","TopLayer","D0008A_M","2056.220mil","3017.873mil","180","High-Speed, Single-Supply, Rail-to-Rail Operational Amplifier MicroAmplifier(TM) Series, 2.7 to 5.5 V, -40 to 85 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)"
"U3","INA826AIDR","TopLayer","FP-D0008A-IPC_A","2120.000mil","4342.897mil","270","IC INST AMP 1 CIRCUIT 8SOIC"
